2014-05-27 22:40:46,304 [DEBUG] django.db.backends: (0.106) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-27 22:40:45' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-27 22:40:45')
2014-05-28 18:38:14,274 [DEBUG] django.db.backends: (0.000) SELECT `auth_permission`.`content_type_id`, `auth_permission`.`codename` FROM `auth_permission` INNER JOIN `django_content_type` ON ( `auth_permission`.`content_type_id` = `django_content_type`.`id` ) WHERE `auth_permission`.`content_type_id` IN (10) ORDER BY `django_content_type`.`app_label` ASC, `django_content_type`.`model` ASC, `auth_permission`.`codename` ASC; args=(10,)
2014-05-28 18:38:14,276 [DEBUG] django.db.backends: (0.000) INSERT INTO `auth_permission` (`name`, `content_type_id`, `codename`) VALUES ('Can add user profile', 10, 'add_userprofile'), ('Can change user profile', 10, 'change_userprofile'), ('Can delete user profile', 10, 'delete_userprofile'); args=(u'Can add user profile', 10, u'add_userprofile', u'Can change user profile', 10, u'change_userprofile', u'Can delete user profile', 10, u'delete_userprofile')
2014-05-28 18:38:14,280 [DEBUG] django.db.backends: (0.000) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE `django_content_type`.`app_label` = 'userprofile'  ORDER BY `django_content_type`.`name` ASC; args=(u'userprofile',)
2014-05-28 18:38:14,281 [DEBUG] django.db.backends: (0.000) SET foreign_key_checks=0; args=None
2014-05-28 18:38:14,282 [DEBUG] django.db.backends: (0.000) SET foreign_key_checks=1; args=None
2014-05-28 18:40:07,252 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 18:40:07' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 18:40:07')
2014-05-28 18:40:07,276 [DEBUG] django.db.backends: (0.000) SELECT COUNT(*) FROM `article_article`; args=()
2014-05-28 18:40:07,276 [DEBUG] django.db.backends: (0.000) SELECT `article_article`.`id`, `article_article`.`title`, `article_article`.`body`, `article_article`.`pub_date`, `article_article`.`likes`, `article_article`.`thumbnail` FROM `article_article`; args=()
2014-05-28 18:42:14,762 [DEBUG] django.db.backends: (0.002) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 18:42:14' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 18:42:14')
2014-05-28 18:42:14,771 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 18:42:14,778 [DEBUG] django.db.backends: (0.006) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 18:42:14,782 [DEBUG] django.db.backends: (0.002) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 18:42:14,783 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 18:42:14,898 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 18:42:14,899 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 18:54:01,296 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 18:54:01' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 18:54:01')
2014-05-28 18:54:01,299 [DEBUG] django.db.backends: (0.003) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 18:54:01,302 [DEBUG] django.db.backends: (0.001) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 18:54:01,302 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 18:54:01,303 [DEBUG] django.db.backends: (0.001) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 18:54:01,382 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 18:54:01,383 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 18:54:03,434 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 18:54:03' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 18:54:03')
2014-05-28 18:54:03,436 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 18:54:03,439 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 18:54:03,439 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 18:54:03,441 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 18:54:03,516 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 18:54:03,519 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:22:42,696 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:22:42' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:22:42')
2014-05-28 20:22:42,697 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:22:42,698 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:22:42,698 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:22:42,699 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:22:42,737 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:22:42,738 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:23:04,680 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:23:04' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:23:04')
2014-05-28 20:23:04,683 [DEBUG] django.db.backends: (0.002) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:23:04,684 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:23:04,684 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:23:04,688 [DEBUG] django.db.backends: (0.003) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:23:04,733 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:23:04,735 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:23:34,141 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:23:34' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:23:34')
2014-05-28 20:23:34,142 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:23:34,143 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:23:34,144 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:23:34,145 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:23:34,203 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:23:34,205 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:25:39,210 [DEBUG] django.db.backends: (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:25:39' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:25:39')
2014-05-28 20:25:39,211 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:25:39,212 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:25:39,212 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:25:39,213 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:25:39,257 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:25:39,259 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:26:29,209 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:26:29' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:26:29')
2014-05-28 20:26:29,210 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:26:29,211 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:26:29,212 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:26:29,212 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:26:29,276 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:26:29,277 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:26:54,423 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:26:54' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:26:54')
2014-05-28 20:26:54,424 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:26:54,425 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:26:54,426 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:26:54,426 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:26:54,490 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:26:54,491 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:27:27,080 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:27:27' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:27:27')
2014-05-28 20:27:27,082 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:27:27,083 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:27:27,083 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:27:27,084 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:27:27,130 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:27:27,131 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:27:45,346 [DEBUG] django.db.backends: (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'dn3bdozui2d0rwxvwwje0e0obr6u4ul1'  AND `django_session`.`expire_date` > '2014-05-28 20:27:45' ); args=('dn3bdozui2d0rwxvwwje0e0obr6u4ul1', u'2014-05-28 20:27:45')
2014-05-28 20:27:45,348 [DEBUG] django.db.backends: (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
2014-05-28 20:27:45,349 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:27:45,350 [DEBUG] django.db.backends: (0.000) INSERT INTO `userprofile_userprofile` (`user_id`, `likes_cheese`, `favourite_hamster_name`) VALUES (1, NULL, ''); args=[1, None, u'']
2014-05-28 20:27:45,350 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` WHERE `userprofile_userprofile`.`user_id` = 1 ; args=(1,)
2014-05-28 20:27:45,410 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
2014-05-28 20:27:45,411 [DEBUG] django.db.backends: (0.000) SELECT `userprofile_userprofile`.`id`, `userprofile_userprofile`.`user_id`, `userprofile_userprofile`.`likes_cheese`, `userprofile_userprofile`.`favourite_hamster_name` FROM `userprofile_userprofile` LIMIT 21; args=()
